sample_idx,num_tokens_generated,num_tokens_scored,num_green_tokens,watermarking_fraction,green_fraction,z_score,p_value,detected
0,48,2,2,0.041666666666666664,1.0,1.414213562373095,0.07864960352514258,0
1,3,1,1,0.3333333333333333,1.0,1.0,0.15865525393145707,0
2,21,9,9,0.42857142857142855,1.0,3.0,0.0013498980316300933,0
3,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
4,98,11,11,0.11224489795918367,1.0,3.3166247903554,0.0004555594385768564,0
5,59,4,4,0.06779661016949153,1.0,2.0,0.022750131948179195,0
6,52,11,11,0.21153846153846154,1.0,3.3166247903554,0.0004555594385768564,0
7,27,2,2,0.07407407407407407,1.0,1.414213562373095,0.07864960352514258,0
8,3,2,1,0.6666666666666666,0.5,0.0,0.5,0
9,62,5,5,0.08064516129032258,1.0,2.23606797749979,0.012673659338734126,0
10,76,27,27,0.35526315789473684,1.0,5.196152422706632,1.0172773072722122e-07,1
11,101,11,11,0.10891089108910891,1.0,3.3166247903554,0.0004555594385768564,0
12,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
13,442,45,43,0.10180995475113122,0.9555555555555556,6.111919138499425,4.922003154976113e-10,1
14,30,3,3,0.1,1.0,1.7320508075688774,0.0416322583317752,0
15,33,2,2,0.06060606060606061,1.0,1.414213562373095,0.07864960352514258,0
16,33,3,3,0.09090909090909091,1.0,1.7320508075688774,0.0416322583317752,0
17,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
18,40,7,7,0.175,1.0,2.6457513110645903,0.00407548579675135,0
19,25,4,4,0.16,1.0,2.0,0.022750131948179195,0
20,112,15,15,0.13392857142857142,1.0,3.8729833462074166,5.3755588364750274e-05,0
21,62,7,7,0.11290322580645161,1.0,2.6457513110645903,0.00407548579675135,0
22,29,2,2,0.06896551724137931,1.0,1.414213562373095,0.07864960352514258,0
23,3,1,1,0.3333333333333333,1.0,1.0,0.15865525393145707,0
24,33,5,5,0.15151515151515152,1.0,2.23606797749979,0.012673659338734126,0
25,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
26,28,3,3,0.10714285714285714,1.0,1.7320508075688774,0.0416322583317752,0
27,70,5,5,0.07142857142857142,1.0,2.23606797749979,0.012673659338734126,0
28,12,2,2,0.16666666666666666,1.0,1.414213562373095,0.07864960352514258,0
29,29,2,2,0.06896551724137931,1.0,1.414213562373095,0.07864960352514258,0
30,34,2,2,0.058823529411764705,1.0,1.414213562373095,0.07864960352514258,0
31,36,7,7,0.19444444444444445,1.0,2.6457513110645903,0.00407548579675135,0
32,244,45,43,0.18442622950819673,0.9555555555555556,6.111919138499425,4.922003154976113e-10,1
33,43,8,8,0.18604651162790697,1.0,2.82842712474619,0.002338867490523633,0
34,28,3,3,0.10714285714285714,1.0,1.7320508075688774,0.0416322583317752,0
35,47,4,4,0.0851063829787234,1.0,2.0,0.022750131948179195,0
36,47,4,4,0.0851063829787234,1.0,2.0,0.022750131948179195,0
37,64,8,8,0.125,1.0,2.82842712474619,0.002338867490523633,0
38,347,58,58,0.16714697406340057,1.0,7.615773105863908,1.3105889128358154e-14,1
39,99,15,15,0.15151515151515152,1.0,3.8729833462074166,5.3755588364750274e-05,0
40,67,3,3,0.04477611940298507,1.0,1.7320508075688774,0.0416322583317752,0
41,360,50,50,0.1388888888888889,1.0,7.071067811865475,7.687298972140174e-13,1
42,22,2,2,0.09090909090909091,1.0,1.414213562373095,0.07864960352514258,0
43,40,5,5,0.125,1.0,2.23606797749979,0.012673659338734126,0
44,90,22,21,0.24444444444444444,0.9545454545454546,4.264014327112209,1.00393280621324e-05,1
45,17,1,1,0.058823529411764705,1.0,1.0,0.15865525393145707,0
46,71,5,5,0.07042253521126761,1.0,2.23606797749979,0.012673659338734126,0
47,95,16,16,0.16842105263157894,1.0,4.0,3.167124183311986e-05,0
48,445,56,55,0.1258426966292135,0.9821428571428571,7.216053531635459,2.6758998292841455e-13,1
49,44,7,7,0.1590909090909091,1.0,2.6457513110645903,0.00407548579675135,0
50,35,0,0,0,0,-100.0,1,0
51,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
52,18,3,3,0.16666666666666666,1.0,1.7320508075688774,0.0416322583317752,0
53,6,0,0,0,0,-100.0,1,0
54,22,3,3,0.13636363636363635,1.0,1.7320508075688774,0.0416322583317752,0
55,32,1,1,0.03125,1.0,1.0,0.15865525393145707,0
56,62,6,6,0.0967741935483871,1.0,2.4494897427831783,0.007152939217714809,0
57,56,7,7,0.125,1.0,2.6457513110645903,0.00407548579675135,0
58,34,5,5,0.14705882352941177,1.0,2.23606797749979,0.012673659338734126,0
